claim_id,claim,source_document,source_artifact,data_source,model_artifact,validation_protocol,metric,value,population,time_period,reproduction_status,evidence_reference,limitation
CLM-GOV-07,Rice defaults to Historical District Mean statistical baseline,final_model_certification.csv,forecast_strategy_registry.json,agricultural_panel.csv,Historical District Mean,Expanding walk-forward tournament,Certification Status,BASELINE_PRODUCTION,Rice districts,2014-2017,REPRODUCED,Datasets/metadata/final_model_certification.csv,Baseline beat ML in 75% of temporal folds
CLM-GOV-08,Wheat defaults to Historical District Mean statistical baseline,final_model_certification.csv,forecast_strategy_registry.json,agricultural_panel.csv,Historical District Mean,Expanding walk-forward tournament,Certification Status,BASELINE_PRODUCTION,Wheat districts,2014-2017,REPRODUCED,Datasets/metadata/final_model_certification.csv,Baseline beat ML in expanding test folds
CLM-EXO-01,Pre-season weather features showed NO_MEANINGFUL_GAIN across 14 crops,exogenous_model_selection.csv,exogenous_ablation_results.csv,agricultural_panel.csv + weather,5-tier ablation,Expanding walk-forward ablation,Status Count,14 / 14 crops,All 14 evaluated crops,2014-2017,REPRODUCED,Datasets/metadata/exogenous_model_selection.csv,Constrained to tested district pre-season lags
CLM-UNC-01,Nominal 80% empirical interval achieved 81.3% coverage in Rice holdout,DAY18_PRE_MODELING_AUDIT.md,forecasting_model_metadata.json,rice_data_outlier_removed.csv,forecasting_pipeline.pkl,Single out-of-time test split,Empirical Coverage,81.3,Rice test split (618 records),2016-2017,SUPPORTED,docs/DAY18_PRE_MODELING_AUDIT.md,Single holdout split; walk-forward folds vary
CLM-UNC-02,Empirical P10-P90 spread reflects decision-tree dispersion,decision_workspace.py,None,None,RandomForestRegressor,Empirical dispersion,Methodology,Tree Dispersion,Tree ensemble estimators,Pre-season origin,REPRODUCED,src/decision_workspace.py,Not a frequentist confidence interval
CLM-XAI-01,Feature attribution implemented via Marginal Reference Perturbation,explainability_engine.py,None,None,Trained estimators,Marginal perturbation,Method,Perturbation Attribution,Agricultural feature space,Pre-season origin,REPRODUCED,src/explainability_engine.py,Reflects model sensitivity not causality
CLM-MON-01,Covariate drift is monitored via Population Stability Index (PSI),monitoring_service.py,operational_telemetry.jsonl,operational_telemetry.jsonl,None,Serving runtime binning,Metric,PSI,Served inference distributions,Serving runtime,REPRODUCED,src/monitoring_service.py,Thresholds: <0.10 Normal >0.25 Significant
CLM-SCEN-01,Scenario simulations represent hypothetical what-if perturbations,decision_workspace.py,None,None,Trained estimators,Bounded parameter perturbation,Classification,SCENARIO,Simulated parameter manifold,Hypothetical,REPRODUCED,src/decision_workspace.py,Not an agronomic biological certainty
CLM-PROV-01,Predictions generate cryptographic SHA-256 execution fingerprints,prediction_service.py,prediction_audit_log.csv,prediction_audit_log.csv,None,Serving runtime hashing,Fingerprint,SHA-256,All served forecasts,Serving runtime,REPRODUCED,src/prediction_service.py,Hashes parameters weights and dataset version
CLM-DEP-01,Multi-container architecture runs Nginx reverse proxy on port 80,docker-compose.yml,Dockerfile,None,None,Docker compose orchestration,Reverse Proxy,Port 80,Frontend/Backend containers,Production runtime,REPRODUCED,docker-compose.yml,Tested via test_deployment_verification.py
CLM-DEP-02,Backend port 8000 is internalized via expose directive,docker-compose.yml,None,None,None,Docker network isolation,Security,Internalized,Backend container,Production runtime,REPRODUCED,docker-compose.yml,Host port bypass eliminated
CLM-SEC-01,API enforces OWASP security headers (DENY nosniff),main.py,None,None,None,HTTP response header inspection,Security Headers,DENY nosniff,All API responses,All requests,REPRODUCED,backend/main.py,Verified via test_security_acceptance.py
CLM-A11Y-01,Frontend satisfies WCAG 2.1 AA bypass blocks via skip-to-content,WebShell.tsx,None,None,None,DOM landmark verification,Skip Link,HTML element,Keyboard & screen reader,All routes,REPRODUCED,frontend/src/components/layout/WebShell.tsx,Verified via test_day35_ui_contracts.py
